message_type,timestamp,ant_device_number,ant_network,ant_transmission_type,battery_status,battery_voltage,cum_operating_time,device_index,device_type,garmin_product,hardware_version,local_timestamp,manufacturer,number,sensor_position,serial_number,software_version,source_type,system_timestamp,time_created,type,unknown_0,unknown_1,unknown_13,unknown_15,unknown_16,unknown_17,unknown_2,unknown_23,unknown_24,unknown_253,unknown_29,unknown_3,unknown_30,unknown_31,unknown_32,unknown_4,unknown_7,unknown_8,unknown_9
file_id,,,,,,,,,,4644,,,garmin,,,3617778896,,,,2026-04-07 21:11:01,73,,,,,,,,,,,,,,,,,,,
file_creator,,,,,,,,,,,,,,,,,1637,,,,,,,,,,,,,,,,,,,,,,,
device_info,2026-04-07 21:11:01,,,,,,,,,4644,,,garmin,,,3617778896,16.37,,,,,,,,,,,,,,,"(None, None, None, None, None, None)",,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-1.0748977661132812,,,,,,,,1144524721,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-1.0098495483398438,,,,,,,,1144524901,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-0.9649467468261719,,,,,,,,1144525081,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-0.9290199279785156,,,,,,,,1144525261,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-0.9161872863769531,,,,,,,,1144525441,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-0.9424896240234375,,,,,,,,1144525621,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-0.8888587951660156,,,,,,,,1144525801,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-0.9713630676269531,,,,,,,,1144525981,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-0.9694290161132812,,,,,,,,1144526161,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-0.8665313720703125,,,,,,,,1144526341,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-0.7737655639648438,,,,,,,,1144526521,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-0.5861854553222656,,,,,,,,1144526701,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-0.5383338928222656,,,,,,,,1144526881,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-0.5255012512207031,,,,,,,,1144527061,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-0.48508453369140625,,,,,,,,1144527241,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-0.4758491516113281,,,,,,,,1144527421,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-0.5639991760253906,,,,,,,,1144527601,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-0.6300697326660156,,,,,,,,1144527781,,,,,,,,,
